Dia	Hora	End time	Average			Domingo	Lunes	Martes	Miercoles	Jueves	Viernes	Sabado
vie	13	"viernes, 4 de abril de 2003"	94.06094644		0	587.969342	490.073715	371.7193826	465.2467373	237.906903	366.7467152	696.0978455
vie	13	"viernes, 4 de abril de 2003"	91.1765642		1	467.3943905	381.2573709	221.6427409	284.8924709	155.9750837	223.0686852	583.3607052
vie	13	"viernes, 4 de abril de 2003"	90.88167539		2	390.0696145	312.5834558	135.2182099	184.5334743	98.63898889	159.281617	494.1845123
vie	13	"viernes, 4 de abril de 2003"	94.84570879		3	392.7716296	273.3780554	95.88614242	128.6316893	67.92357216	120.8881233	407.1698735
vie	14	"viernes, 4 de abril de 2003"	90.83594589		4	315.849592	229.4671637	87.21113542	113.2015857	64.16733832	95.62039697	313.9195213
vie	14	"viernes, 4 de abril de 2003"	88.95736128		5	224.2218193	245.8980335	129.1324745	152.6996435	80.67849867	105.1547887	240.9157114
vie	14	"viernes, 4 de abril de 2003"	85.13438741		6	199.89411	493.2370178	494.393272	474.747114	279.5793345	278.7675929	281.0803692
vie	14	"viernes, 4 de abril de 2003"	83.29907533		7	253.0558879	924.1545852	1168.903945	1149.736938	610.8173485	624.3526841	445.9994445
vie	15	"viernes, 4 de abril de 2003"	86.32271326		8	322.1602973	1265.103917	1366.004929	1361.29659	651.3100114	734.3038066	661.6929645
vie	15	"viernes, 4 de abril de 2003"	88.96007869		9	425.6974143	1451.247102	1353.555899	1345.792229	585.5885498	745.5874797	788.7114331
vie	15	"viernes, 4 de abril de 2003"	85.55199354		10	571.3361195	1347.627915	1313.444502	1289.257242	632.4170255	710.1549141	632.7394972
vie	15	"viernes, 4 de abril de 2003"	90.47728857		11	665.7413116	1116.47161	1312.822859	1033.478108	618.8769332	694.3143187	658.2576509
vie	16	"viernes, 4 de abril de 2003"	91.58515532		12	731.6324288	1333.662281	1310.214856	954.5034121	618.3363048	700.7306703	684.7710374
vie	16	"viernes, 4 de abril de 2003"	94.3835348		13	793.7925022	1081.351245	1314.433134	948.4222906	631.0281084	1061.063637	590.0213213
vie	16	"viernes, 4 de abril de 2003"	93.15584456		14	876.1872509	863.7817198	1299.541952	1151.728472	657.0123448	1011.014301	592.8864575
vie	16	"viernes, 4 de abril de 2003"	97.95117681		15	885.4140795	1095.889108	1278.485371	1184.225858	694.8448419	1022.266256	885.571749
